CALt,corr,corrLO,corrUP
0,1,0.753909249,1.280791343
250,0.8758102,0.696259701,1.07593498
500,0.775221572,0.642268599,0.920672369
750,0.692412782,0.592510074,0.800094698
1000,0.62328473,0.547007133,0.704539261
1250,0.564876723,0.505530098,0.627516239
1500,0.515002833,0.467755829,0.564522593
1750,0.47201792,0.433353982,0.512333756
2000,0.434662772,0.40202978,0.468569013
2250,0.401959025,0.373535091,0.431425123
2500,0.373136285,0.347656946,0.399516575
2750,0.347580578,0.324197504,0.37177781
3000,0.324797241,0.302959492,0.347394889
3250,0.304383786,0.283742622,0.325749606
3500,0.286009754,0.266347818,0.306371805
3750,0.269401581,0.250583775,0.288900609
4000,0.254331075,0.236272273,0.273054836
4250,0.240606555,0.2232512,0.258611492
4500,0.228065961,0.21137553,0.24539054
4750,0.21657145,0.200516925,0.233244174
5000,0.206005122,0.190562565,0.222049248
5250,0.196265602,0.181413625,0.211701848
5500,0.1872653,0.172983668,0.202113333
5750,0.17892819,0.165197097,0.193207391
6000,0.171187995,0.157987734,0.184917813
6250,0.163986708,0.151297553,0.177186767
6500,0.157273362,0.145075577,0.169963447
6750,0.151003014,0.139276918,0.163202989
7000,0.145135901,0.13386195,0.156865605
7250,0.139636727,0.128795608,0.150915863
7500,0.134474065,0.124046782,0.145322098
7750,0.129619852,0.119587797,0.14005592
8000,0.12504896,0.115393975,0.135091798
8250,0.120738829,0.111443254,0.130406707
8500,0.116669153,0.107715865,0.125979833
8750,0.112821613,0.104194046,0.121792308
9000,0.109179642,0.100861811,0.117826997
9250,0.105728228,0.097704731,0.1140683
9500,0.102453737,0.094709762,0.110501989
9750,0.099343761,0.091865084,0.10711506
10000,0.096386988,0.089159966,0.103895607
10250,0.093573085,0.086584649,0.100832709
10500,0.090892598,0.084130238,0.097916333
10750,0.088336859,0.081788614,0.095137245
11000,0.085897912,0.079552353,0.092486934
11250,0.083568439,0.077414657,0.089957544
11500,0.081341702,0.075369289,0.087541812
11750,0.079211484,0.073410521,0.085233013
12000,0.077172044,0.071533081,0.083024916
12250,0.075218072,0.069732114,0.080911733
12500,0.073344651,0.068003142,0.078888086
12750,0.071547219,0.066342027,0.076948973
13000,0.069821543,0.064744943,0.075089729
13250,0.068163687,0.063208347,0.073306008
13500,0.066569986,0.061728953,0.071593747
13750,0.065037028,0.060303713,0.069949153
14000,0.063561629,0.058929793,0.068368673
14250,0.062140817,0.057604557,0.066848984
14500,0.060771814,0.056325549,0.065386967
14750,0.059452019,0.055090478,0.063979699
15000,0.058179,0.053897209,0.062624434
15250,0.056950473,0.052743741,0.061318592
15500,0.055764299,0.051628206,0.060059747
15750,0.054618465,0.050548854,0.058845616
16000,0.053511084,0.049504041,0.05767405
16250,0.052440377,0.048492227,0.056543025
16500,0.051404671,0.047511962,0.05545063
16750,0.050402389,0.046561884,0.054395066
17000,0.049432044,0.045640708,0.053374632
17250,0.048492235,0.044747225,0.052387725
17500,0.047581635,0.043880293,0.051432827
17750,0.046698994,0.043038831,0.050508507
18000,0.045843127,0.042221819,0.04961341
18250,0.045012915,0.041428291,0.048746253
18500,0.044207296,0.040657331,0.047905824
18750,0.043425265,0.03990807,0.047090974
19000,0.04266587,0.039179685,0.046300615
19250,0.041928206,0.038471391,0.045533716
19500,0.041211415,0.037782444,0.0447893
19750,0.040514681,0.037112135,0.04406644
20000,0.039837231,0.036459788,0.043364256
20250,0.039178326,0.03582476,0.042681912
20500,0.038537266,0.035206437,0.042018617
20750,0.037913384,0.034604233,0.041373618
21000,0.037306043,0.034017588,0.040746197
21250,0.036714639,0.033445968,0.040135674
21500,0.036138592,0.03288886,0.039541403
21750,0.035577353,0.032345776,0.038962766
22000,0.035030395,0.031816246,0.038399178
22250,0.034497216,0.031299822,0.03785008
22500,0.033977337,0.030796074,0.037314938
22750,0.033470298,0.030304588,0.036793247
23000,0.032975662,0.029824971,0.036284522
23250,0.032493009,0.029356842,0.035788302
23500,0.032021938,0.028899836,0.035304145
23750,0.031562063,0.028453603,0.034831632
24000,0.031113019,0.028017808,0.03437036
24250,0.030674451,0.027592126,0.033919945
24500,0.030246021,0.027176248,0.033480021
24750,0.029827406,0.026769873,0.033050236
25000,0.029418295,0.026372715,0.032630254
25250,0.029018388,0.025984496,0.032219754
25500,0.0286274,0.025604949,0.031818427
25750,0.028245055,0.025233819,0.031425979
26000,0.027871089,0.024870857,0.031042127
26250,0.027505248,0.024515826,0.0306666
26500,0.027147287,0.024168495,0.030299138
26750,0.026796971,0.023828643,0.029939491
27000,0.026454076,0.023496056,0.029587421
27250,0.026118382,0.023170529,0.029242697
27500,0.025789681,0.022851862,0.028905098
27750,0.02546777,0.022539863,0.028574412
28000,0.025152457,0.022234347,0.028250436
28250,0.024843553,0.021935136,0.027932973
28500,0.024540878,0.021642055,0.027621834
28750,0.024244258,0.021354939,0.027316838
29000,0.023953526,0.021073625,0.027017811
29250,0.023668519,0.020797958,0.026724584
29500,0.023389081,0.020527787,0.026436994
29750,0.023115063,0.020262966,0.026154887
30000,0.022846317,0.020003355,0.02587811
30250,0.022582704,0.019748816,0.02560652
30500,0.022324088,0.019499218,0.025339976
30750,0.022070337,0.019254432,0.025078342
31000,0.021821325,0.019014336,0.02482149
31250,0.021576928,0.018778809,0.024569293
31500,0.02133703,0.018547736,0.024321629
31750,0.021101514,0.018321004,0.024078381
32000,0.02087027,0.018098505,0.023839436
32250,0.020643191,0.017880132,0.023604684
32500,0.020420172,0.017665785,0.023374019
32750,0.020201113,0.017455363,0.023147339
33000,0.019985917,0.017248771,0.022924544
33250,0.019774488,0.017045915,0.02270554
33500,0.019566736,0.016846706,0.022490233
33750,0.019362572,0.016651056,0.022278532
34000,0.01916191,0.016458879,0.022070352
34250,0.018964667,0.016270094,0.021865609
34500,0.018770762,0.016084621,0.021664219
34750,0.018580116,0.015902381,0.021466105
35000,0.018392654,0.015723299,0.02127119
35250,0.018208303,0.015547303,0.021079399
35500,0.018026989,0.01537432,0.020890661
35750,0.017848645,0.015204283,0.020704906
36000,0.017673202,0.015037123,0.020522065
36250,0.017500595,0.014872775,0.020342073
36500,0.017330761,0.014711177,0.020164867
36750,0.017163637,0.014552267,0.019990383
37000,0.016999164,0.014395984,0.019818563
37250,0.016837284,0.014242271,0.019649348
37500,0.016677939,0.014091071,0.019482681
37750,0.016521075,0.013942328,0.019318506
38000,0.016366638,0.01379599,0.019156771
38250,0.016214575,0.013652004,0.018997423
38500,0.016064837,0.01351032,0.018840411
38750,0.015917375,0.013370888,0.018685687
39000,0.015772139,0.01323366,0.018533202
39250,0.015629083,0.01309859,0.01838291
39500,0.015488163,0.012965632,0.018234766
39750,0.015349333,0.012834741,0.018088726
40000,0.015212551,0.012705875,0.017944745
