IBRA,lon,lat,sitetype,labcode,RCage,RCerr,RClo,RCup,occup,calc,material
Australian Alps,148.92,-36.01,rockshelter,ANU-1049,1600,60,1540,1660,Y,0,charcoal
Australian Alps,148.31,-36.51,open site,ANU-6866,950,150,800,1100,U,0,charcoal
Australian Alps,148.31,-36.51,open site,ANU-6867,4390,80,4310,4470,U,0,charcoal
Australian Alps,148.31,-36.51,open site,ANU-6868,2460,120,2340,2580,U,0,charcoal
Australian Alps,148.35,-37.36,rockshelter,SUA-2217,4660,110,4550,4770,Y,0,charcoal
Australian Alps,148.35,-37.36,rockshelter,SUA-2218,9500,750,8800,10300,Y,1,charcoal
Australian Alps,148.35,-37.36,rockshelter,GaK-9012,9850,2800,7050,12650,Y,0,charcoal
Australian Alps,148.35,-37.36,rockshelter,GaK-9013,9940,270,9670,10210,Y,0,charcoal
Australian Alps,148.35,-37.36,rockshelter,SUA-2221,14600,944,13000,16700,Y,1,charcoal
Australian Alps,148.35,-37.36,rockshelter,SUA-2222,21000,434,20200,21900,Y,1,charcoal
Australian Alps,148.95,-35.72,rockshelter,ANU-1048,550,60,490,610,Y,0,charcoal
Australian Alps,148.95,-35.72,rockshelter,ANU-1051,770,140,630,910,Y,0,charcoal
Brigalow Belt South ,149.84,-29.46,burial,GX-2669,2285,125,2160,2410,Y,0,charcoal
Broken Hill Complex,142.34,-31.95,rockshelter,ANU 704,1850,240,1610,2090,Y,0,charcoal
Broken Hill Complex,140.4,-31.11,rock engraving,Beta-13803,10250,170,10080,10420,N,0,calcium carbonate
Broken Hill Complex,140.4,-31.11,rock engraving,Beta-13804,10410,170,10240,10580,N,0,calcium carbonate
Broken Hill Complex,140.4,-31.11,rock engraving,SUA-2099,2680,380,2300,3060,N,0,soil carbonate
Broken Hill Complex,140.4,-31.11,rock engraving,SUA-2100,3530,210,3320,3740,N,0,soil carbonate
Broken Hill Complex,142.3,-31.28,open site,NSW-1,285,80,205,365,U,0,charcoal
